SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,WEEKDAY_APPR_PROCESS_START,AMT_INCOME_TOTAL,AMT_CREDIT,REGION_POPULATION_RELATIVE,DAYS_BIRTH,LIVINGAREA_MEDI
100029,0,Cash loans,M,Y,N,2,THURSDAY,AMT_INCOME_TOTAL,247500,0.026392,-11286,0.1239
100030,0,Cash loans,F,N,Y,0,SATURDAY,AMT_INCOME_TOTAL,225000,0.028663,-19334,0.0682
100031,1,Cash loans,F,N,Y,0,MONDAY,AMT_INCOME_TOTAL,979992,0.018029,-18724,0.0096
100032,0,Cash loans,M,N,Y,1,SATURDAY,AMT_INCOME_TOTAL,327024,0.019101,-15948,
100033,0,Cash loans,M,Y,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,790830,0.04622,-9994,
100034,0,Revolving loans,M,N,Y,0,TUESDAY,AMT_INCOME_TOTAL,180000,0.030755,-10341,0.1437
100035,0,Cash loans,F,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,665892,0.025164,-15280,0.0152
100036,0,Cash loans,F,N,Y,0,TUESDAY,AMT_INCOME_TOTAL,512064,0.008575,-11144,0.262
100037,0,Cash loans,F,N,N,0,SATURDAY,AMT_INCOME_TOTAL,199008,0.010032,-12974,0.0613
100039,0,Cash loans,M,Y,N,1,THURSDAY,AMT_INCOME_TOTAL,733315.5,0.015221,-11694,
100040,0,Cash loans,F,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,1125000,0.019689,-15997,0.0648
100041,0,Cash loans,F,N,N,0,MONDAY,AMT_INCOME_TOTAL,450000,0.008575,-12158,0.0592
100043,0,Cash loans,F,N,Y,2,THURSDAY,AMT_INCOME_TOTAL,641173.5,0.01885,-17199,
100044,0,Cash loans,M,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,454500,0.030755,-21077,
100045,0,Cash loans,F,N,Y,0,FRIDAY,AMT_INCOME_TOTAL,247275,0.006207,-23920,0.0938
100046,0,Revolving loans,M,Y,Y,0,TUESDAY,AMT_INCOME_TOTAL,540000,0.025164,-16126,0.0785
100047,1,Cash loans,M,N,Y,0,TUESDAY,AMT_INCOME_TOTAL,1193580,0.025164,-17482,0.129
100048,0,Cash loans,F,N,Y,0,MONDAY,AMT_INCOME_TOTAL,604152,0.009175,-16971,
100049,1,Cash loans,F,N,N,0,THURSDAY,AMT_INCOME_TOTAL,288873,0.007305,-13384,
100050,0,Cash loans,F,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,746280,0.010966,-23548,0.2151
100051,0,Cash loans,M,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,661702.5,0.007114,-9827,
100052,0,Revolving loans,F,N,Y,1,MONDAY,AMT_INCOME_TOTAL,180000,0.009334,-7974,
100053,0,Cash loans,F,N,Y,0,MONDAY,AMT_INCOME_TOTAL,305221.5,0.019689,-20373,
100054,0,Cash loans,F,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,260640,0.022625,-20121,
100055,0,Cash loans,F,N,N,0,THURSDAY,AMT_INCOME_TOTAL,1350000,0.020713,-19727,
100056,0,Cash loans,M,Y,Y,0,THURSDAY,AMT_INCOME_TOTAL,1506816,0.010006,-18264,
100058,0,Revolving loans,F,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,135000,0.01452,-12406,0.0747
100059,0,Cash loans,M,Y,Y,1,TUESDAY,AMT_INCOME_TOTAL,675000,0.026392,-18632,0.5983
100060,0,Cash loans,M,Y,N,0,TUESDAY,AMT_INCOME_TOTAL,454500,0.028663,-12282,0.0116
100061,0,Cash loans,F,N,Y,2,THURSDAY,AMT_INCOME_TOTAL,314055,0.006629,-10473,
100062,0,Cash loans,M,Y,N,0,TUESDAY,AMT_INCOME_TOTAL,675000,0.010006,-18611,
100063,0,Cash loans,F,N,Y,0,MONDAY,AMT_INCOME_TOTAL,837427.5,0.022625,-12955,0.0837
100064,0,Cash loans,F,N,N,0,MONDAY,AMT_INCOME_TOTAL,298728,0.019101,-21621,
100068,0,Revolving loans,M,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,247500,0.031329,-18248,0.1198
100069,0,Cash loans,M,Y,Y,1,MONDAY,AMT_INCOME_TOTAL,640458,0.00733,-14186,
100070,0,Cash loans,M,Y,Y,0,TUESDAY,AMT_INCOME_TOTAL,1227901.5,0.032561,-20544,0.007
100071,0,Cash loans,F,N,Y,0,MONDAY,AMT_INCOME_TOTAL,1663987.5,0.018801,-20121,0.0781
100072,0,Cash loans,M,N,N,0,TUESDAY,AMT_INCOME_TOTAL,1080000,0.010006,-7907,0.0929
100073,0,Cash loans,M,Y,Y,0,THURSDAY,AMT_INCOME_TOTAL,1130760,0.01885,-22843,0.2869
100075,0,Cash loans,F,N,N,0,MONDAY,AMT_INCOME_TOTAL,95940,0.00496,-12240,
100076,0,Cash loans,M,Y,N,0,MONDAY,AMT_INCOME_TOTAL,315000,0.028663,-13866,0.0102
100077,0,Cash loans,M,N,Y,0,WEDNESDAY,AMT_INCOME_TOTAL,1256400,0.072508,-12049,0.1392
100078,0,Cash loans,F,Y,Y,0,TUESDAY,AMT_INCOME_TOTAL,1035000,0.028663,-19550,
100079,0,Revolving loans,M,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,270000,0.00733,-15359,
100080,0,Revolving loans,F,N,N,1,SUNDAY,AMT_INCOME_TOTAL,450000,0.010966,-11956,0.2167
100081,0,Cash loans,M,Y,N,0,SATURDAY,AMT_INCOME_TOTAL,450000,0.01452,-10848,0.0516
100082,0,Cash loans,M,N,N,2,MONDAY,AMT_INCOME_TOTAL,450000,0.01885,-12009,0.0514
100083,0,Cash loans,M,Y,Y,0,MONDAY,AMT_INCOME_TOTAL,573628.5,0.009657,-15406,0.0949
100084,0,Cash loans,M,N,Y,2,FRIDAY,AMT_INCOME_TOTAL,495351,0.02461,-14860,0.0112
100085,0,Cash loans,M,N,Y,1,WEDNESDAY,AMT_INCOME_TOTAL,755190,0.016612,-11187,
100086,0,Cash loans,F,N,Y,1,THURSDAY,AMT_INCOME_TOTAL,675000,0.019101,-14264,
100087,0,Cash loans,F,N,Y,1,FRIDAY,AMT_INCOME_TOTAL,1288350,0.003069,-17542,
100088,0,Revolving loans,F,N,N,0,THURSDAY,AMT_INCOME_TOTAL,135000,0.0228,-19467,
100089,0,Cash loans,M,N,Y,0,TUESDAY,AMT_INCOME_TOTAL,337761,0.025164,-9666,0.0701
100093,0,Cash loans,F,N,Y,1,TUESDAY,AMT_INCOME_TOTAL,585000,0.028663,-18253,
100094,0,Cash loans,F,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,113760,0.030755,-22935,0.1678
100095,0,Revolving loans,F,N,Y,2,THURSDAY,AMT_INCOME_TOTAL,135000,0.020246,-18693,
100096,1,Cash loans,F,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,252000,0.028663,-24794,
100097,0,Cash loans,M,Y,Y,0,THURSDAY,AMT_INCOME_TOTAL,760225.5,0.035792,-17527,
100098,0,Revolving loans,M,Y,N,0,WEDNESDAY,AMT_INCOME_TOTAL,270000,0.01885,-17390,
100099,0,Cash loans,F,N,Y,0,THURSDAY,AMT_INCOME_TOTAL,733315.5,0.009175,-23032,0.0367
100100,0,Cash loans,M,Y,Y,2,FRIDAY,AMT_INCOME_TOTAL,796396.5,0.008019,-15909,
